Num_Circo;Nom;Prenom;Nb_Voix;Prenom_Nom;sexe
035-06;BENOIT;Thierry;26431;Thierry_BENOIT;homme
035-06;MOCQUARD;Hélène;0;;
035-07;BOURGEAUX;Jean-Luc;23704;Jean-Luc_BOURGEAUX;homme
035-07;LE GAGNE;Anne;0;;
035-08;BOULOUX;Mickaël;28261;Mickaël_BOULOUX;homme
035-08;BACHELIER;Florian;0;;
036-01;JOLIVET;François;18158;François_JOLIVET;homme
036-01;GONZALEZ;Éloïse;0;;
036-02;FORISSIER;Nicolas;22507;Nicolas_FORISSIER;homme
036-02;THIRION;Fabien;0;;
037-01;FOURNIER;Charles;17461;Charles_FOURNIER;homme
037-01;CHALUMEAU;Philippe;0;;
037-02;LABARONNE;Daniel;22663;Daniel_LABARONNE;homme
037-02;GOBERT;Christelle;0;;
037-03;ALFANDARI;Henri;25792;Henri_ALFANDARI;homme
037-03;SIRVEN;Roxane;0;;
037-04;COLBOC;Fabienne;21185;Fabienne_COLBOC;femme
037-04;BAUMEL;Laurent;0;;
037-05;THILLAYE;Sabine;22055;Sabine_THILLAYE;femme
037-05;LOUISIN;Ambre;0;;
038-01;VÉRAN;Olivier;25512;Olivier_VÉRAN;homme
038-01;ROBIN;Salomé;0;;
038-02;CHATELAIN;Cyrielle;16992;Cyrielle_CHATELAIN;femme
038-02;COLAS-ROY;Jean-Charles;0;;
038-03;MARTIN;Élisa;15326;Élisa_MARTIN;femme
038-03;CHALAS;Emilie;0;;
038-04;BATTISTEL;Marie-Noëlle;24016;Marie-Noëlle_BATTISTEL;femme
038-04;LACROIX;Fanny;0;;
038-05;IORDANOFF;Jérémie;25010;Jérémie_IORDANOFF;homme
038-05;JAY;Florence;0;;
038-06;JOLLY;Alexis;18667;Alexis_JOLLY;homme
038-06;MOTIN;Cendra;0;;
038-07;NEUDER;Yannick;23678;Yannick_NEUDER;homme
038-07;MOULIN-COMTE;Alexandre;0;;
038-08;ABADIE;Caroline;18251;Caroline_ABADIE;femme
038-08;AUGUSTE;Benoit;0;;
038-09;JACQUIER-LAFORGE;Elodie;24427;Elodie_JACQUIER-LAFORGE;femme
038-09;NOSBÉ;Sandrine;0;;
038-10;MEYNIER-MILLEFERT;Marjolaine;20282;Marjolaine_MEYNIER-MILLEFERT;femme
038-10;GERMAIN;Nathalie;0;;
039-01;BRULEBOIS;Danielle;16833;Danielle_BRULEBOIS;femme
039-01;BRONDEL;Anthony;0;;
039-02;DALLOZ;Marie-Christine;15380;Marie-Christine_DALLOZ;femme
039-02;TERNANT;Evelyne;0;;
039-03;GRUET;Justine;19397;Justine_GRUET;femme
039-03;PRAT;Hervé;0;;
040-01;DARRIEUSSECQ;Geneviève;27123;Geneviève_DARRIEUSSECQ;femme
040-01;DE BARBEYRAC;Guy;0;;
040-02;CAUSSE;Lionel;30305;Lionel_CAUSSE;homme
040-02;LESPADE;Jean-Marc;0;;
040-03;VALLAUD;Boris;28998;Boris_VALLAUD;homme
040-03;BROQUÈRES;Jean-Francois;0;;
041-01;FESNEAU;Marc;20249;Marc_FESNEAU;homme
041-01;BELKADI;Reda;0;;
041-02;CHUDEAU;Roger;18107;Roger_CHUDEAU;homme
041-02;CHAPLAULT;Emmanuelle;0;;
041-03;MARION;Christophe;21158;Christophe_MARION;homme
041-03;BARDET;Marine;0;;
042-01;BATAILLON;Quentin;13231;Quentin_BATAILLON;homme
042-01;COPIN;Laetitia;0;;
042-02;TAURINYA;Andrée;10488;Andrée_TAURINYA;femme
042-02;MIS;Jean-Michel;0;;
042-03;MANDON;Emmanuel;18807;Emmanuel_MANDON;homme
042-03;BONY;Vincent;0;;
042-04;CINIERI;Dino;27847;Dino_CINIERI;homme
042-04;PAEMELAERE;Bernard;0;;
042-05;VERMOREL-MARQUES;Antoine;24575;Antoine_VERMOREL-MARQUES;homme
042-05;SARLES;Nathalie;0;;
042-06;TAITE;Jean-Pierre;25050;Jean-Pierre_TAITE;homme
042-06;BOROWCZYK;Julien;0;;
043-01;VALENTIN;Isabelle;32478;Isabelle_VALENTIN;femme
043-01;GACON;Celline;0;;
043-02;VIGIER;Jean-Pierre;25621;Jean-Pierre_VIGIER;homme
043-02;SIGAUX;Azelma;0;;
044-01;BELHAMITI;Mounir;20367;Mounir_BELHAMITI;homme
044-01;BENBRAHIM;Karim;0;;
044-02;KERBRAT;Andy;26851;Andy_KERBRAT;homme
044-02;OPPELT;Valérie;0;;
044-03;AMIOT;Ségolène;24837;Ségolène_AMIOT;femme
044-03;BRUNET;Anne-France;0;;
044-04;LAERNOES;Julie;26411;Julie_LAERNOES;femme
044-04;AMADOU;Aude;0;;
044-05;EL HAIRY;Sarah;33834;Sarah_EL HAIRY;femme
044-05;LALANDE;Sabine;0;;
044-06;RAUX;Jean-Claude;26852;Jean-Claude_RAUX;homme
044-06;ESNAULT;Jordan;0;;
044-07;JOSSO;Sandrine;31074;Sandrine_JOSSO;femme
044-07;MAHÉ;Veronique;0;;
044-08;TAVEL;Matthias;21596;Matthias_TAVEL;homme
044-08;DUFEU;Audrey;0;;
044-09;HAURY;Yannick;31625;Yannick_HAURY;homme
044-09;MACON;Hélène;0;;
044-10;ERRANTE;Sophie;32852;Sophie_ERRANTE;femme
044-10;CAILLETEAU;Bruno;0;;
045-01;RIST;Stéphanie;20163;Stéphanie_RIST;femme
045-01;KOUNOWSKI;Ghislaine;0;;
045-02;JANVIER;Caroline;20535;Caroline_JANVIER;femme
045-02;DUPLESSY;Emmanuel;0;;
045-03;PARIS;Mathilde;16846;Mathilde_PARIS;femme
045-03;BARBIER;Carine;0;;
045-04;MÉNAGÉ;Thomas;19087;Thomas_MÉNAGÉ;homme
045-04;NOTTIN;Bruno;0;;
045-05;BROSSE;Anthony;15747;Anthony_BROSSE;homme
045-05;MANENT;Valentin;0;;
045-06;RAMOS;Richard;18865;Richard_RAMOS;homme
045-06;HICTER;Olivier;0;;
046-01;PRADIÉ;Aurélien;25615;Aurélien_PRADIÉ;homme
046-01;BOUGEARD;Elsa;0;;
046-02;TIEGNA;Huguette;;Huguette_TIEGNA;femme
046-02;GROSSEMY;Thierry;0;;
046-02;PROENÇA;Christophe;0;;
047-01;LAUZZANA;Michel;20328;Michel_LAUZZANA;homme
047-01;DELBOSQ;Sébastien;0;;
047-02;LAPORTE;Hélène;;Hélène_LAPORTE;femme
047-02;COURREGELONGUE;Christophe;0;;
047-02;FRESCHI;Alexandre;0;;
047-03;COUSIN;Annick;18747;Annick_COUSIN;femme
047-03;CZAPLA;Xavier;0;;
048-01;MOREL A L'HUISSIER;Pierre;17355;Pierre_MOREL A L'HUISSIER;homme
048-01;DESCAVES;Sandrine;0;;
049-01;GERNIGON;François;22724;François_GERNIGON;homme
049-01;SAEIDI;Arash;0;;
049-02;DUPONT;Stella;25005;Stella_DUPONT;femme
049-02;BESSAT;Caroline;0;;
049-03;BLIN;Anne-Laure;19020;Anne-Laure_BLIN;femme
049-03;ROUDÉVITCH;Véronique;0;;
049-04;SAINT-PAUL;Laëtitia;19913;Laëtitia_SAINT-PAUL;femme
049-04;RABAULT;Caroline;0;;
049-05;MASSEGLIA;Denis;19395;Denis_MASSEGLIA;homme
049-05;AIRAUD;Christophe;0;;
049-06;DUBRE CHIRAT;Nicole;24615;Nicole_DUBRE CHIRAT;femme
049-06;AMGHAR;Tassadit;0;;
049-07;BOLO;Philippe;20865;Philippe_BOLO;homme
049-07;JOUANNEAU;Guillaume;0;;
050-01;GOSSELIN;Philippe;27166;Philippe_GOSSELIN;homme
050-01;HÉDOUIN;Guillaume;0;;
050-02;SORRE;Bertrand;28280;Bertrand_SORRE;homme
050-02;GRIMBERT;Patrick;0;;
050-03;TRAVERT;Stéphane;27829;Stéphane_TRAVERT;homme
050-03;VEROVE;Gaëlle;0;;
050-04;PIC;Anna;20482;Anna_PIC;femme
050-04;KRIMI;Sonia;0;;
051-01;ALBERTINI;Xavier;15898;Xavier_ALBERTINI;homme
051-01;BOURGOIN;Evelyne;0;;
051-02;FRIGOUT;Anne-Sophie;14655;Anne-Sophie_FRIGOUT;femme
051-02;MEGUENINE;Lynda;0;;
051-03;GIRARDIN;Eric;16836;Eric_GIRARDIN;homme
051-03;MARC;Jennifer;0;;
051-04;MAGNIER;Lise;17294;Lise_MAGNIER;femme
051-04;BESSON;Thierry;0;;
051-05;DE COURSON;Charles;21325;Charles_DE COURSON;homme
051-05;THIONNET;Pierre;0;;
052-01;BENTZ;Christophe;16201;Christophe_BENTZ;homme
052-01;ABBA;Bérangère;0;;
052-02;ROBERT-DEHAULT;Laurence;13877;Laurence_ROBERT-DEHAULT;femme
052-02;CORNUT-GENTILLE;François;0;;
053-01;GAROT;Guillaume;20178;Guillaume_GAROT;homme
053-01;MOTTIER;Béatrice;0;;
053-02;BANNIER;Géraldine;19812;Géraldine_BANNIER;femme
053-02;BOISSEAU;Grégory;0;;
