index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
5681;Abdallah;BENBETKA;homme;;094-09;DVE;checked;Parti communiste français;
5682;Wenqi;CUI;femme;;094-09;RN;;Rassemblement National;
5683;Ethan;GARY;homme;;094-09;SOUV;;Droite souverainiste;
5684;Michèle;BONHOMME-AFFLATET;femme;;094-09;LR;;Les Républicains;
5685;Emmanuel;OLLIVIER;homme;;094-09;Parti animaliste;;Ecologistes;
5686;Véronique;DUCANDAS;femme;;094-09;EXG;;Divers extrême gauche;
5687;Jonathan;ROSENBLUM;homme;;094-09;LRM;;Ensemble ! (Majorité présidentielle);
5688;Bernard;CHAPPELLIER;homme;;094-10;DVE;;Ecologistes;
5689;Alex;JOUBERT;homme;;094-10;UDI;;Union des Démocrates et des Indépendants;
5690;Philippe;HARDOUIN;homme;;094-10;LRM;;Ensemble ! (Majorité présidentielle);
5691;Laurine;LADIAN-FASSI;femme;;094-10;Reconquête;;Reconquête !;
5692;Elise;LIN;femme;;094-10;RN;;Rassemblement National;
5693;César;COURANT;homme;;094-10;Parti animaliste;;Ecologistes;
5694;Mathilde;PANOT;femme;checked;094-10;LFI;;La France Insoumise;https://twitter.com/MathildePanot
5695;Christine;LICHTENAUER;femme;;094-10;LO;;Divers extrême gauche;
5696;Zahra;AIT OUALI;femme;;094-11;REG;;Régionaliste;
5697;Sarah;MILAMON;femme;;094-11;Reconquête;;Reconquête !;
5698;Sophie;TAILLÉ-POLIAN;femme;;094-11;Génération·s;;Ecologistes;
5699;Mahrouf;BOUNEGTA;homme;;094-11;LR;;Les Républicains;
5700;Namunayao Kahambwe Ziada;MWANA-KUSU;femme;;094-11;DIV;;Divers;
5701;Pedro;GUANAES NETTO;homme;;094-11;SOUV;;Droite souverainiste;
5702;Jean;COUTHURES;homme;;094-11;MdP;;Divers gauche;
5703;Martina;GABELICA;femme;;094-11;RN;;Rassemblement National;
5704;Jocelyn-Pierre;ROSAZ;homme;;094-11;Parti animaliste;;Ecologistes;
5705;Maryvonne;ROCHETEAU;femme;;094-11;FGR;;Divers gauche;
5706;Dany-Laure;LAVILLETTE;femme;;094-11;DVC;;Divers centre;
5707;Nicole;FLORENCE;femme;;094-11;EXG;;Divers extrême gauche;
5708;Christine;MAZURIER;femme;;094-11;LO;;Divers extrême gauche;
5709;Erwann;CALVEZ;homme;;094-11;LRM;;Ensemble ! (Majorité présidentielle);
5710;Antoine;SAVIGNAT;homme;;095-01;LR;;Les Républicains;
5711;Sandrine;BARBIER;femme;;095-01;Parti animaliste;;Ecologistes;
5712;Barbara;GÉHAN;femme;;095-01;LO;;Divers extrême gauche;
5713;Erwan;ATTAGNANT;homme;;095-01;Reconquête;;Reconquête !;
5714;Emilie;CHANDLER;femme;;095-01;LRM;;Ensemble ! (Majorité présidentielle);
5715;Philippe;PIERRE;homme;;095-01;RN;;Rassemblement National;
5716;Lionel;LESSAINT;homme;;095-01;DLF;;Droite souverainiste;
5717;Leïla;IVORRA;femme;;095-01;LFI;;La France Insoumise;https://twitter.com/LeilaIvorra
5718;Albert;LAPEYRE;homme;;095-01;DVE;;Ecologistes;
5719;Jean-Luc;BRULARD;homme;;095-02;DIV;;Divers extrême gauche;
5720;Brahim;OUBAIROUK;homme;;095-02;DVE;;Ecologistes;
5721;Lydie;CHIKHANE;femme;;095-02;DLF;;Droite souverainiste;
5722;Frédéric;PAIN;homme;;095-02;LR;;Les Républicains;
5723;Jérôme;NICOLLE;homme;;095-02;Parti pirate;;Divers;
