index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
91;Marion;SENNEPIN;femme;;003-01;Parti animaliste;;Ecologistes;
92;Marie;CIBERT;femme;;003-01;RN;;Rassemblement National;
93;Michel;BARBARIN;homme;;003-01;LRM;;Ensemble ! (Majorité présidentielle);
94;Jean;MALLOT;homme;;003-01;PS;checked;Divers gauche;
95;Jean-Marc;COLLOT;homme;;003-01;LO;;Divers extrême gauche;
96;Pierre;DE NICOLAY;homme;;003-01;Reconquête;;Reconquête !;
97;Fabien;MALAVAUD;homme;;003-01;MdR;;Divers droite;
98;Roger;LITAUDON;homme;;003-01;LR;;Les Républicains;
99;Yannick;MONNET;homme;;003-01;PCF;;Parti communiste français;https://twitter.com/YannickMonnet3
100;Samir;TRIKI;homme;;003-02;Horizons;checked;Divers centre;
101;Jean-Jacques;KEGELART;homme;;003-02;LR;;Les Républicains;
102;Christophe;AFFRAIX;homme;;003-02;SOUV;;Droite souverainiste;
103;Axelle;DE NICOLAY;femme;;003-02;Reconquête;;Reconquête !;
104;Jean-Marie;GUILLAUMIN;homme;;003-02;DVE;;Ecologistes;
105;Bernard;LEBEL;homme;;003-02;LO;;Divers extrême gauche;
106;Philippe;CHATEL;homme;;003-02;DIV;;Régionaliste;
107;Marie-Claude;LÉGUILLON;femme;;003-02;PRG;;Parti radical de gauche;
108;Jorys;BOVET;homme;;003-02;RN;;Rassemblement National;
109;Luc;THOMAS;homme;;003-02;Parti pirate;;Régionaliste;
110;Laurence;VANCEUNEBROCK;femme;checked;003-02;LRM;;Ensemble ! (Majorité présidentielle);
111;Bernard;POZZOLI;homme;;003-02;PS;checked;Divers gauche;
112;Louise;HERITIER;femme;;003-02;LFI;;La France Insoumise;https://twitter.com/heritier_louise
113;Jean-Francois;RAMEAU;homme;;003-03;LO;;Divers extrême gauche;
114;Paul;DUCHÉ;homme;;003-03;Parti animaliste;;Ecologistes;
115;Nicolas;RAY;homme;;003-03;LR;;Les Républicains;
116;Yves-Marie;PENDELIAU;homme;;003-03;DIV;;Divers;
117;Isabelle;RÉCHARD;femme;;003-03;PRG;;Parti radical de gauche;
118;Bénédicte;PEYROL;femme;checked;003-03;LRM;;Ensemble ! (Majorité présidentielle);
119;Elsa;DENFERD;femme;;003-03;PS;;Parti socialiste;https://twitter.com/elsadenferd
120;Quentin;JULIEN;homme;;003-03;RN;;Rassemblement National;
121;Sophie;LACOUR;femme;;003-03;Reconquête;;Reconquête !;
122;Lydie;CORBIN;femme;;003-03;Patriotes;;Droite souverainiste;
123;Laurine;MIFFRED;femme;;004-01;Reconquête;;Reconquête !;
124;Sylvie;LYONS;femme;;004-01;PS;checked;Parti socialiste;
125;Dominique;BLANC;femme;;004-01;DVD;;Divers droite;
126;Nicole;VAN HEESBEKE;femme;;004-01;DVE;;Ecologistes;
127;Annabel;ROS;femme;;004-01;LO;;Divers extrême gauche;
128;Bruno;POTIE;homme;;004-01;DIV;;Divers;
129;Paul;AUDAN;homme;;004-01;LRM;;Ensemble ! (Majorité présidentielle);
130;Pascal;RECOTILLET;homme;;004-01;REG;;Régionaliste;
131;Patricia;ROLLAND;femme;;004-01;EAC;;Ecologistes;
132;Delphine;BAGARRY;femme;checked;004-01;Nouveaux démocrates;;Ecologistes;https://twitter.com/DBagarry
133;Christian;GIRARD;homme;;004-01;RN;;Rassemblement National;
134;Romaric;GIACOMINO;homme;;004-01;DLF;;Droite souverainiste;
135;Hervé;GUERRERA;homme;;004-02;REG;;Régionaliste;
136;Marie;FERREIRA;femme;;004-02;UDI;;Union des Démocrates et des Indépendants;
137;Clémence;RAZEAU;femme;;004-02;DVE;;Ecologistes;
138;Myriam;CADENEL;femme;;004-02;Reconquête;;Reconquête !;
139;Nathalie;HUE-COURTIN;femme;;004-02;EAC;;Ecologistes;
140;Frédéric;KECHRA;homme;;004-02;LO;;Divers extrême gauche;
141;Danièle;DAUX;femme;;004-02;Patriotes;;Droite souverainiste;
142;Aurélie;ABEILLE;femme;;004-02;RN;;Rassemblement National;
143;Laurent;VICENTE;homme;;004-02;EXG;;Divers extrême gauche;
144;Jean-Luc;SOLER;homme;;004-02;EXG;;Divers extrême gauche;
145;Christophe;CASTANER;homme;checked;004-02;LRM;;Ensemble ! (Majorité présidentielle);
146;Léo;WALTER;homme;;004-02;LFI;;La France Insoumise;https://twitter.com/LeoWalter04
147;Thierry;BEGNIS;homme;;004-02;Parti animaliste;;Ecologistes;
148;Christine;GAMERRE;femme;;005-01;DVE;;Ecologistes;
149;Michel;PHILIPPO;homme;;005-01;LFI;;La France Insoumise;https://twitter.com/PhilippoMichel
150;Pascale;BOYER;femme;checked;005-01;LRM;;Ensemble ! (Majorité présidentielle);
151;Fabienne;PRATALI;femme;;005-01;Parti animaliste;;Ecologistes;
152;Camille;HERBAUT;femme;;005-01;DLF;;Droite souverainiste;
153;Patricia;HOURS;femme;;005-01;Reconquête;;Reconquête !;
154;Roland;SCARAMOZZINO;homme;;005-01;EAC;;Ecologistes;
155;Lise;RECOTILLET;femme;;005-01;RPS;;Régionaliste;
156;Eric;SARLIN;homme;;005-01;RN;;Rassemblement National;
157;Kevin;PARA;homme;;005-01;LR;;Les Républicains;
158;Véronique;BUISSON;femme;;005-01;LO;;Divers extrême gauche;
159;Joel;GIRAUD;homme;;005-02;LRM;;Ensemble ! (Majorité présidentielle);
160;Sandrine;BESSONNIER;femme;;005-02;Patriotes;;Droite souverainiste;
161;Rémi;ROUX;homme;;005-02;DVG;;Divers gauche;
162;Margot;PELISSIER;femme;;005-02;Reconquête;;Reconquête !;
163;Carole;CHAUVET;femme;;005-02;LR;;Les Républicains;
164;Yann;PASSEREAU;homme;;005-02;Parti animaliste;;Ecologistes;
165;Boris;GUIGNARD;homme;;005-02;LO;;Divers extrême gauche;
166;Louis;ALBRAND;homme;;005-02;RN;;Rassemblement National;
167;Capucine;MOUNAL;femme;;005-02;LFI;;La France Insoumise;
168;Florent;IMBERT;homme;;006-01;LO;;Divers extrême gauche;
169;Eric;CIOTTI;homme;checked;006-01;LR;;Les Républicains;
170;Nathalie;DLOUSSKY;femme;;006-01;DIV;;Divers;
171;Muriel;VITETTI;femme;;006-01;RN;;Rassemblement National;
172;Loïc;LALANDE;homme;;006-01;Parti animaliste;;Ecologistes;
173;Kenza;ATHANASOPOULOS;femme;;006-01;DVG;;Divers gauche;
174;Sylvie;ZAKRZEWSKI;femme;;006-01;Patriotes;;Droite souverainiste;
175;Graig;MONETTI;homme;;006-01;LRM;;Ensemble ! (Majorité présidentielle);
176;Chantal;BEAUDET;femme;;006-01;DIV;;Divers;
177;Christian;RAZEAU;homme;;006-01;DVE;;Ecologistes;
178;Anne-Laure;CHAINTRON;femme;;006-01;LFI;;La France Insoumise;https://twitter.com/ChaintronAnne
179;Lalla-Chama Gabrielle;BEN MOULAY;femme;;006-01;EAC;;Ecologistes;
180;Philippe;MORLOT;homme;;006-02;Patriotes;;Droite souverainiste;
181;Emmanuelle;SULTANI;femme;;006-02;EAC;;Ecologistes;
182;Jean-Marc;MACARIO;homme;;006-02;LR;;Les Républicains;
183;Sonia;NAFFATI;femme;;006-02;LFI;;La France Insoumise;https://twitter.com/NaffatiSonia
184;Alexandre;GAIFFE;homme;;006-02;LR;checked;Divers droite;
185;Brigitte;REYNARD;femme;;006-02;DVE;;Ecologistes;
186;Patrick;ISNARD;homme;;006-02;Reconquête;;Reconquête !;
187;Abdel;AÏSSOU;homme;;006-02;MdR;;Divers droite;
188;Lionel;TIVOLI;homme;;006-02;RN;;Rassemblement National;
189;Alain;BOUILLEAUX;homme;;006-02;LO;;Divers extrême gauche;
190;Loïc;DOMBREVAL;homme;;006-02;LRM;;Ensemble ! (Majorité présidentielle);
191;Laurent;POTENTIER;homme;;006-02;DIV;;Divers;
192;Estelle;JAQUET;femme;;006-03;LO;;Divers extrême gauche;
193;Gabriel-Kayne;MERCIER;homme;;006-03;Parti animaliste;;Ecologistes;
194;Philippe;VARDON;homme;;006-03;Reconquête;;Reconquête !;
195;Benoît;KANDEL;homme;;006-03;RN;;Rassemblement National;
196;Enzo;GIUSTI;homme;;006-03;LFI;;La France Insoumise;
197;David-André;DARMON;homme;;006-03;DVG;;Ecologistes;
198;Philippe;PRADAL;homme;;006-03;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
199;Marie-Françoise;CAUSSIN;femme;;006-03;EAC;;Ecologistes;
200;Laurent;CASTILLO;homme;;006-03;LR;;Les Républicains;
201;Dominique;BOY-MOTTARD;femme;;006-03;PRG;;Parti radical de gauche;
202;Yann;BENOIT;homme;;006-03;DIV;;Divers;
203;Sylvie;BONALDI;femme;;006-03;EE-LV;checked;Ecologistes;
204;Marie-Ange;RIVIERE;femme;;006-03;Patriotes;;Droite souverainiste;
205;Joseph;MARKIEL;homme;;006-04;LO;;Divers extrême gauche;
206;David;BIEDER;homme;;006-04;Parti animaliste;;Ecologistes;
207;Alexandra;VALETTA-ARDISSON;femme;;006-04;LRM;;Ensemble ! (Majorité présidentielle);
208;Christine;BEYL;femme;;006-04;EAC;;Ecologistes;
209;Pascal;DUCREUX;homme;;006-04;DVE;;Ecologistes;
210;Fabrice;CARBONEL;homme;;006-04;Patriotes;;Droite souverainiste;
211;Sophie;BOURNOT-POULET;femme;;006-04;PCF;;Parti communiste français;
212;Roger;ROUX;homme;;006-04;LR;;Les Républicains;
213;Alexandra;MASSON;femme;;006-04;RN;;Rassemblement National;
214;Damien;RIEU;homme;;006-04;Reconquête;;Reconquête !;https://twitter.com/DamienRieu
215;Thibault;DELHEZ;homme;;006-05;DLF;;Droite souverainiste;
216;Cédric;VELLA;homme;;006-05;Reconquête;;Reconquête !;
217;Nathalie;SOISSON;femme;;006-05;DVE;;Ecologistes;
218;Marine;BRENIER-OHANESSIAN;femme;;006-05;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
219;Frank;KHALIFA;homme;;006-05;RN;;Rassemblement National;
220;Christelle;D'INTORNI;femme;;006-05;LR;;Les Républicains;
221;Agnès;BENKEMOUN;femme;;006-05;LO;;Divers extrême gauche;
222;Philippe;BENASSAYA;homme;;006-05;EE-LV;;Ecologistes;https://twitter.com/PhilBenassaya
223;Géraldine;MAIYÉ;femme;;006-05;DVE;;Ecologistes;
224;J.C Wahid;SPACH;homme;;006-05;DIV;;Divers;
225;Daniele;BARTOLI;femme;;006-06;LO;;Divers extrême gauche;
226;Laurence;TRASTOUR-ISNART;femme;checked;006-06;LR;;Les Républicains;
227;Philippe;TOUZEAU-MENONI;homme;;006-06;Résistons;;Divers centre;
228;Nicole;MAZZELLA;femme;;006-06;LFI;;La France Insoumise;
229;Philippe;LOUVEZ;homme;;006-06;DLF;;Droite souverainiste;
230;Jean-Bernard;MION;homme;;006-06;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
231;Philippe;ROBIONY;homme;;006-06;DVE;;Ecologistes;
232;Bryan;MASSON;homme;;006-06;RN;;Rassemblement National;
233;Pierre;PIACENTINI;homme;;006-06;EAC;;Ecologistes;
234;Guillaume;JULIEN;homme;;006-06;Parti animaliste;;Ecologistes;
235;Denis;CIESLIK;homme;;006-06;Reconquête;;Reconquête !;
236;Marie-José;VALLADE;femme;;006-07;DVE;;Ecologistes;
237;Arnaud;DELCASSE;homme;;006-07;FGR;;Divers gauche;https://twitter.com/adelcasse
238;Eric;PAUGET;homme;checked;006-07;LR;;Les Républicains;
239;Arthur;MEYER-ABBATUCCI;homme;;006-07;LFI;;La France Insoumise;
240;Yassin-Faïsal;BELGUECHI;homme;;006-07;DIV;;Divers;
241;Eric;MELE;homme;;006-07;LRM;;Ensemble ! (Majorité présidentielle);
242;Audrey;MARIUS;femme;;006-07;Reconquête;;Reconquête !;
243;Axel;HVIDSTEN;homme;;006-07;EAC;;Ecologistes;
244;Laurie;FEBVAY;femme;;006-07;DLF;;Droite souverainiste;
245;Megane;PARGAUD;femme;;006-07;Parti animaliste;;Ecologistes;
246;Tanguy;CORNEC;homme;;006-07;RN;;Rassemblement National;
247;Bérengère;HUMBERT;femme;;006-07;DVD;;Divers droite;
248;Stanislas;MARECHAL;homme;;006-07;Parti pirate;;Divers;
249;Christian;PETARD;homme;;006-07;LO;;Divers extrême gauche;
250;Adelia;MARTINS;femme;;006-08;DLF;;Droite souverainiste;
251;Jean-Valéry;DESENS;homme;;006-08;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
252;Damien;DUBOIS;homme;;006-08;EXG;;Divers extrême gauche;
253;Chantal;FONTANESI;femme;;006-08;DVE;;Ecologistes;
254;Adrien;GROSJEAN;homme;;006-08;Reconquête;;Reconquête !;
255;Marie;BIBIANO;femme;;006-08;DVE;;Ecologistes;
256;Bernard;CLAUDEL;homme;;006-08;DVD;;Divers;
257;Chantal;HAMONET;femme;;006-08;EAC;;Ecologistes;
258;Marie-José;PEREIRA;femme;;006-08;LO;;Divers extrême gauche;
259;Alexandra;MARTIN;femme;;006-08;LR;;Les Républicains;
260;Lucia;SOUDANT;femme;;006-08;LFI;;La France Insoumise;https://twitter.com/SoudantL
261;Dorette;LANDERER;femme;;006-08;RN;;Rassemblement National;
262;David;PAUCHET;homme;;006-09;Patriotes;;Droite souverainiste;
263;Michèle;TABAROT;femme;checked;006-09;LR;;Les Républicains;
264;Xuan Truong;NGUYEN;homme;;006-09;Reconquête;;Reconquête !;
265;Jean-Paul;CAMERANO;homme;;006-09;LRM;checked;Divers centre;
266;Nicolas;BOULAY;homme;;006-09;Parti pirate;;Divers;
267;Chantal;CHASSERIAUD;femme;;006-09;PS;;Parti socialiste;
268;Evelyne;BARROERO;femme;;006-09;DVE;;Ecologistes;
269;Mayaa;TUDIESCHE;femme;;006-09;LRM;;Ensemble ! (Majorité présidentielle);
270;Liliane;PÉCOUT;femme;;006-09;LO;;Divers extrême gauche;
271;Christian;MATUSZEWSKI;homme;;006-09;DIV;;Ecologistes;
272;Franck;GALBERT;homme;;006-09;RN;;Rassemblement National;
273;Severine;GINEYS;femme;;007-01;LRM;;Ensemble ! (Majorité présidentielle);
274;Marie Élisabeth;FLACH;femme;;007-01;Reconquête;;Reconquête !;
275;Erick;LE LOHER;homme;;007-01;DLF;;Droite souverainiste;
276;Hervé;SAULIGNAC;homme;checked;007-01;PS;;Parti socialiste;https://twitter.com/hsaulignac
277;Boris;TZAPRENKO;homme;;007-01;Parti animaliste;;Ecologistes;
278;Muriel;VANDER DONCKT;femme;;007-01;LO;;Divers extrême gauche;
279;Michel;VALLA;homme;;007-01;DVD;;Divers droite;
280;Céline;PORQUET;femme;;007-01;RN;;Rassemblement National;
281;Pascal;CHAMBONNET;homme;;007-01;EXG;;Divers extrême gauche;
282;Clara;MADEIRA;femme;;007-01;REG;;Régionaliste;
283;Claire;GUILMIN;femme;;007-02;Patriotes;;Droite souverainiste;
284;Michèle;GAILLARD;femme;;007-02;LO;;Divers extrême gauche;
285;Cyrille;GRANGIER;homme;;007-02;RN;;Rassemblement National;
286;Sébastien;GLADIEUX;homme;;007-02;MdR;;Divers droite;
287;Marc-Antoine;QUENETTE;homme;;007-02;LR;;Les Républicains;
288;Martin;CHAIZE;homme;;007-02;AGIR;;Régionaliste;
289;Christophe;GOULOUZELLE;homme;;007-02;LFI;;La France Insoumise;https://twitter.com/AlbertLvy1/
290;Philippe;BORY;homme;;007-02;Reconquête;;Reconquête !;
291;Olivier;DUSSOPT;homme;;007-02;LRM;;Ensemble ! (Majorité présidentielle);
292;Alexandra;CAUQUIL;femme;;007-03;LRM;;Ensemble ! (Majorité présidentielle);
293;Florence;PALLOT;femme;;007-03;LFI;;La France Insoumise;
294;Anne;ALIROL;femme;;007-03;REG;;Régionaliste;
295;Fabrice;BRUN;homme;checked;007-03;LR;;Les Républicains;https://twitter.com/FabriceBrun
296;Audrey;TEILLET;femme;;007-03;Parti animaliste;;Ecologistes;
297;Gonzague;SILVA;homme;;007-03;Patriotes;;Droite souverainiste;
298;Johan;VERHEIJ;homme;;007-03;RN;;Rassemblement National;
299;Christophe;MARCHISIO;homme;;007-03;LO;;Divers extrême gauche;
300;Gérald;GANDON;homme;;007-03;Reconquête;;Reconquête !;
301;Laurent;UGHETTO;homme;;007-03;PS;checked;Divers gauche;
302;Laurent;RICHARD;homme;;008-01;RN;;Rassemblement National;
303;Julien;DURUISSEAU;homme;;008-01;EE-LV;;Ecologistes;
304;Arnaud;RENNESSON;homme;;008-01;DIV;;Ecologistes;
305;Lionel;VUIBERT;homme;;008-01;AGIR,LRM;;Ensemble ! (Majorité présidentielle);
306;Patrick;KALMES;homme;;008-01;Patriotes;;Droite souverainiste;
307;Nadia;OCTAVE;femme;;008-01;LO;;Divers extrême gauche;
308;Guillaume;MARECHAL;homme;;008-01;LR;;Les Républicains;
309;Juliette;DE CAUSANS;femme;;008-01;LRM;checked;Divers centre;
310;Sébastien;LAURENT;homme;;008-01;Reconquête;;Reconquête !;
311;Nadège;JACQUEMART;femme;;008-02;Reconquête;;Reconquête !;
312;Polina;BEDDELEM;femme;;008-02;LRM;;Ensemble ! (Majorité présidentielle);
313;Gilles;LOYEZ;homme;;008-02;LFI;;La France Insoumise;https://twitter.com/NUPES0802
314;Christelle;GALLET;femme;;008-02;DVE;;Ecologistes;
315;Mink;TAKAWÉ;femme;;008-02;LO;;Divers extrême gauche;
316;Patrick;BENYOUCEF;homme;;008-02;EXG;;Divers extrême gauche;
317;Christelle;BELLAY;femme;;008-02;Patriotes;;Droite souverainiste;
318;Baptiste;PHILIPPO;homme;;008-02;RN;;Rassemblement National;
319;Pierre;CORDIER;homme;checked;008-02;DVD;;Les Républicains;
320;Bruno;NORTH;homme;;008-03;Reconquête;;Reconquête !;
321;Stella;BATISSE;femme;;008-03;DLF;;Droite souverainiste;
322;Estelle;DRION;femme;;008-03;LRM;;Ensemble ! (Majorité présidentielle);
323;Jean-Luc;WARSMANN;homme;;008-03;DVD;;Divers droite;
324;Sophie;PERRIN;femme;;008-03;LFI;;La France Insoumise;
325;Laure;AUGIER;femme;;008-03;LO;;Divers extrême gauche;
326;Monique;PELTRIAUX;femme;;008-03;DVE;;Ecologistes;
327;David;LEMOINE;homme;;008-03;RN;;Rassemblement National;
328;Jean-Marc;GARNIER;homme;;009-01;RN;;Rassemblement National;
329;Bénédicte;TAURINE;femme;checked;009-01;LFI;;La France Insoumise;https://twitter.com/BenedictTaurine
330;François-Xavier;JOSSINET;homme;;009-01;Reconquête;;Reconquête !;
331;Renaud;FABART;homme;;009-01;Parti animaliste;;Ecologistes;
332;Yannick;LOMRÉ;homme;;009-01;Patriotes;;Droite souverainiste;
333;Claire;COULY;femme;;009-01;FGR;;Divers gauche;
334;Anne-Sophie;TRIBOUT;femme;;009-01;LRM;;Ensemble ! (Majorité présidentielle);
335;Gisèle;LAPEYRE;femme;;009-01;LO;;Divers extrême gauche;
336;Martine;FROGER;femme;;009-01;PS;checked;Parti socialiste;
337;Jean-Pierre;SALVAT;homme;;009-01;REG;;Régionaliste;
338;Bérengère;CARRIE;femme;;009-02;RN;;Rassemblement National;
339;Quentin;CHAROY;homme;;009-02;Parti animaliste;;Ecologistes;
340;Alexandra;TARRIEUX-ANTRANIKIAN;femme;;009-02;Reconquête;;Reconquête !;https://twitter.com/a_t_alexandra
341;Enzo;GARCIA;homme;;009-02;REG;;Régionaliste;
342;Laurent;PANIFOUS;homme;;009-02;PS;checked;Parti socialiste;
343;Patrick;LAFFONT;homme;;009-02;DVG;;Divers gauche;
344;Michel;LARIVE;homme;checked;009-02;LFI;;La France Insoumise;https://twitter.com/Michel_Larive
345;Yann;DE KERIMEL;homme;;009-02;EXD;;Divers extrême droite;
346;Rémi;DUTRENOIS;homme;;009-02;MDM,LRM;;Ensemble ! (Majorité présidentielle);
347;Paul;AFONSO;homme;;009-02;UDI;;Union des Démocrates et des Indépendants;
348;Théodora;TESTARD;femme;;009-02;LO;;Divers extrême gauche;
349;Stéphanie;FRAENKEL;femme;;010-01;LR;;Les Républicains;
350;Grégory;BESSON-MOREAU;homme;checked;010-01;LRM;;Ensemble ! (Majorité présidentielle);
351;Jordan;GUITTON;homme;;010-01;RN;;Rassemblement National;
352;Hervé;GIACOMONI;homme;;010-01;Reconquête;;Reconquête !;
353;Marie-Elisabeth;CANAUD;femme;;010-01;DIV;;Divers;
354;Lydie;PIEPLU;femme;;010-01;Résistons;;Divers centre;
355;Laurent;SPAGNESI;homme;;010-01;EE-LV;;Ecologistes;
356;Lionel;PAILLARD;homme;;010-01;LO;;Divers extrême gauche;
357;Romain;VALLÉE;homme;;010-02;LO;;Divers extrême gauche;
358;Sébastien;RIGLET;homme;;010-02;DIV;;Divers centre;
359;Isabelle;PUFF;femme;;010-02;Patriotes;;Droite souverainiste;
360;Evelyne;HENRY;femme;;010-02;RN;;Rassemblement National;
361;Sébastien;BEAUFUMÉ;homme;;010-02;Parti animaliste;;Ecologistes;
362;Salomé;FONTAINE-GARCIA;femme;;010-02;MDM,LRM;;Ensemble ! (Majorité présidentielle);
363;Sarah;FRAINCART;femme;;010-02;LFI;;La France Insoumise;https://twitter.com/SFraincart2022
364;Etienne;IGNATOVITCH;homme;;010-02;Reconquête;;Reconquête !;
365;Valérie;BAZIN-MALGRAS;femme;checked;010-02;LR;;Les Républicains;https://twitter.com/vbazinmalgras
366;Pascal;ANDRIEUX;homme;;010-03;LO;;Divers extrême gauche;
367;Laure;FERNANDEZ;femme;;010-03;Patriotes;;Droite souverainiste;
368;Gaëtan;SEFFALS;homme;;010-03;LFI;;La France Insoumise;
369;Lyonnel;HELICK;homme;;010-03;SOUV;;Droite souverainiste;
370;Dominique;MENISSIER;homme;;010-03;Parti animaliste;;Ecologistes;
371;Loëtitia;BEURY;femme;;010-03;LRM;;Ensemble ! (Majorité présidentielle);
372;Céline;LOPES VAZ;femme;;010-03;Reconquête;;Reconquête !;
373;Baptiste;GATOUILLAT;homme;;010-03;LR;;Les Républicains;
374;Didier;FREVILLE;homme;;010-03;LRM;checked;Divers centre;
375;Angélique;RANC;femme;;010-03;RN;;Rassemblement National;
376;Nelly;COLLOT-TOUZÉ;femme;;010-03;DVE;;Ecologistes;
377;Axel;ROULLIAUX;homme;;011-01;Reconquête;;Reconquête !;
378;Laure-Nelly;AMALRIC;femme;;011-01;DVE;;Ecologistes;
379;Patricia;DANDEU;femme;;011-01;Parti animaliste;;Ecologistes;
380;Juliette;SIKORA;femme;;011-01;DIV;;Divers;
381;Gilbert;BIASOLI;homme;;011-01;DLF;;Droite souverainiste;
382;Christophe;BARTHÈS;homme;;011-01;RN;;Rassemblement National;
383;Nicole;GADRAT;femme;;011-01;LO;;Divers extrême gauche;
384;Laurent;PEREZ;homme;;011-01;LR;;Les Républicains;
385;Sophie;COURRIÈRE CALMON;femme;;011-01;PS;;Parti socialiste;
386;Danièle;HÉRIN;femme;checked;011-01;LRM;;Ensemble ! (Majorité présidentielle);
387;Edouard;ROCHER;homme;;011-02;PRG;;Parti radical de gauche;
388;Frédéric;FALCON;homme;;011-02;RN;;Rassemblement National;
389;Baptiste;VASSEUR;homme;;011-02;DVG;;Divers gauche;
390;Valérie;MONTERO-VALLE;femme;;011-02;DVD;;Ecologistes;
391;Gérard;LENFANT;homme;;011-02;Résistons;;Divers;
392;Francis;THOMAS;homme;;011-02;Patriotes;;Droite souverainiste;
393;Christian;CALGARO;homme;;011-02;SOUV;;Divers centre;
394;Viviane;THIVENT;femme;;011-02;EE-LV;;Ecologistes;https://twitter.com/vivianethivent
395;Cyril;CAMBON;homme;;011-02;Parti animaliste;;Ecologistes;
396;Annette;VIGIER;femme;;011-02;LO;;Divers extrême gauche;
397;Jean-François;DARAUD;homme;;011-02;Reconquête;;Reconquête !;
398;Alain;PEREA;homme;;011-02;LRM;;Ensemble ! (Majorité présidentielle);
399;Quentin;ESTRADE;homme;;011-02;Les Centristes,LR;;Les Républicains;
400;Fabien;MIRABILE;homme;;011-02;DVE;;Ecologistes;
401;Aurélien;TURCHETTO;homme;;011-03;PRG;;Parti radical de gauche;
402;Pierre;MARTINEZ;homme;;011-03;Parti animaliste;;Ecologistes;
403;Julien;RANCOULE;homme;;011-03;RN;;Rassemblement National;
404;Martine;HABERT;femme;;011-03;DLF;;Droite souverainiste;
405;Valérie;DUCOM;femme;;011-03;Reconquête;;Reconquête !;
406;Michel;MARTIN;homme;;011-03;EXG;;Divers extrême gauche;
407;Mireille;ROBERT;femme;;011-03;LRM;;Ensemble ! (Majorité présidentielle);
408;Johanna;ADDA--NETTER;femme;;011-03;LFI;;La France Insoumise;
409;Jacques;CROS;homme;;011-03;DVE;;Ecologistes;
410;Carine;POTTIER;femme;;011-03;UDI;;Union des Démocrates et des Indépendants;
411;Dominique;GALONNIER;homme;;011-03;LO;;Divers extrême gauche;
412;Antoine;DA CRUZ;homme;;012-01;Résistons;;Divers droite;
413;Godefroy;BES DE BERC;homme;;012-01;Reconquête;;Reconquête !;
414;Stéphane;MAZARS;homme;checked;012-01;LRM;;Ensemble ! (Majorité présidentielle);
415;Julia;PLANE;femme;;012-01;RN;;Rassemblement National;
416;Arlette;SAINT-AVIT;femme;;012-01;LO;;Divers extrême gauche;
417;Magali;BESSAOU;femme;;012-01;LR;;Les Républicains;
418;Marie-Françoise;DUMAY;femme;;012-01;DIV;;Ecologistes;
419;Léon;THÉBAULT;homme;;012-01;EE-LV;;Ecologistes;https://twitter.com/leonthebault
420;Jean-Philippe;ARMET;homme;;012-01;DLF;;Droite souverainiste;
421;Samuel;DEGUARA;homme;;012-02;LRM;;Ensemble ! (Majorité présidentielle);
422;Laurent;ALEXANDRE;homme;;012-02;LFI;;La France Insoumise;
423;André;AT;homme;;012-02;LR;;Les Républicains;
424;Florian;BARTHE;homme;;012-02;Résistons;;Divers droite;
425;Bruno;LELEU;homme;;012-02;RN;;Rassemblement National;
426;Dominique;DUVAL;homme;;012-02;Reconquête;;Reconquête !;
427;Lucile;EL HEDRI;femme;;012-02;LO;;Divers extrême gauche;
428;Eric;CANTOURNET;homme;;012-02;PRG;;Parti radical de gauche;
429;Jean-Luc;VIDAL;homme;;012-02;Patriotes;;Droite souverainiste;
430;Myriam;CASSARINI;femme;;012-02;DIV;;Ecologistes;
431;Dominique;CLERGUE;homme;;012-02;Parti pirate;;Divers gauche;
432;Bernard;COMBES;homme;;012-03;LO;;Divers extrême gauche;
433;Jean-François;ROUSSET;homme;;012-03;LRM;;Ensemble ! (Majorité présidentielle);
434;Lysiane;TENDIL;femme;;012-03;Reconquête;;Reconquête !;
435;Michel;RHIN;homme;;012-03;LFI;;La France Insoumise;https://twitter.com/UPcirco3aveyron
436;Christophe;SAINT-PIERRE;homme;;012-03;LR;;Les Républicains;
437;Jean Christophe;CAZORLA;homme;;012-03;RN;;Rassemblement National;
438;Thierry;NOEL;homme;;012-03;DVE;;Ecologistes;
439;Patrice;MIRAN;homme;;012-03;EAC;;Ecologistes;
440;Jean-Marie;DAURES;homme;;012-03;Résistons;;Divers droite;
441;Sophie;GRECH;femme;;013-01;Reconquête;;Reconquête !;
442;Xavier;BONNARD;homme;;013-01;DIV;;Ecologistes;
443;Ferielle;CHENNOUF;femme;;013-01;EAC;;Ecologistes;
444;Marc;CECONE;homme;;013-01;LO;;Divers extrême gauche;
445;Céline;CARAVELLAZI;femme;;013-01;DLF;;Droite souverainiste;
446;Victor;GIOIA;homme;;013-01;DVC;;Divers droite;
447;Julien;AVRIL;homme;;013-01;Parti pirate;;Divers;
448;Flora;JABES;femme;;013-01;Parti animaliste;;Ecologistes;
449;Thibaud;ROSIQUE;homme;;013-01;PS;;Parti socialiste;https://twitter.com/ThibaudRosique
450;Marie;LANZALAVI;femme;;013-01;RPS;;Régionaliste;
451;Monique;GRISETI;femme;;013-01;RN;;Rassemblement National;
